"1","お取引日","お取引内容","お取引通貨","お取引金額","お取引手数料","ATM手数料","海外事務手数料","ご利用通貨","ご利用金額","ご利用手数料","換算レート"
"2","2023/05/28","バロー（Ｖ・Ｄｒｕｇ）／ｉＤ","JPY","4810.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/05/26","ﾏｸﾄﾞﾅﾙﾄﾞ","JPY","530.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/05/21","バロー（Ｖ・Ｄｒｕｇ）／ｉＤ","JPY","3981.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/05/20","ﾋﾟｱｺﾞﾌｶﾏﾃﾝ*","JPY","876.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/05/19","ﾊﾝｺﾔﾄﾞﾂﾄｺﾑ","JPY","7105.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/05/15","ｿﾌﾄﾊﾞﾝｸM(04ｶﾞﾂ)","JPY","990.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/05/14","ﾏﾙｽｱﾝｼﾞﾖｳｱﾝﾌｵ-ﾚﾃﾝ","JPY","8763.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/05/13","１４３４マツモトキヨシＤＳ安城横山／ｉＤ","JPY","1074.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/05/13","ｻｲｾﾞﾘﾔ/NFC","JPY","3100.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/05/06","バロー（Ｖ・Ｄｒｕｇ）／ｉＤ","JPY","2244.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/05/05","ダイソー／ｉＤ","JPY","438.00","0.00","0.00","0.00","","0.00","0.00","0.00"
